Year,Temperature Increase (Â°C),CO2 Emissions (Million Tons),Deforestation Rate (%),Glacial Melt Rate (%),Water Scarcity Index,Flood Events,Drought Events,Agricultural Yield Change (%),Renewable Energy Share (%)
2013,0.8,180,1.2,0.5,0.6,2,1,-2,10
2014,0.9,185,1.3,0.6,0.61,3,1,-2.5,11
2015,1.0,190,1.4,0.7,0.62,4,2,-3,12
2016,1.1,195,1.5,0.8,0.64,2,2,-3.5,13
2017,1.2,200,1.6,0.9,0.65,5,3,-4,14
2018,1.3,205,1.7,1.0,0.67,6,3,-4.5,15
2019,1.4,210,1.8,1.1,0.68,7,4,-5,16
2020,1.5,215,1.9,1.2,0.70,8,4,-5.5,17
2021,1.6,220,2.0,1.3,0.72,9,5,-6,18
2022,1.7,225,2.1,1.4,0.74,10,5,-6.5,19
